HA,4,47,w1,w2,w3,w4
IX,d,SE,1,3,9,16
0,0,7,-1,-2,-1,1
1,0,7,-1,1,-2,1
2,0,7,1,-1,2,-1
3,0,7,1,2,1,-1
4,0,9,-2,0,2,-1
5,0,9,0,-2,-1,-2
6,0,9,0,-1,2,2
7,0,9,0,1,-2,-2
8,0,9,0,2,1,2
9,0,9,2,0,-2,1
10,0,10,-3,1,0,0
11,0,10,-1,0,0,3
12,0,10,0,-3,1,0
13,0,10,0,3,-1,0
14,0,10,1,0,0,-3
15,0,10,3,-1,0,0
16,0,12,-1,-1,-3,-1
17,0,12,1,1,3,1
18,0,14,-3,-2,1,0
19,0,14,-2,1,0,-3
20,0,14,2,-1,0,3
21,0,14,3,2,-1,0
22,0,15,-3,-1,-1,-2
23,0,15,-2,3,1,-1
24,0,15,2,-3,-1,1
25,0,15,3,1,1,2
26,0,17,-3,0,2,2
27,0,17,3,0,-2,-2
28,0,18,-2,-2,1,-3
29,0,18,-2,-1,-3,2
30,0,18,-2,2,3,1
31,0,18,-1,2,3,-2
32,0,18,1,-2,-3,2
33,0,18,2,-2,-3,-1
34,0,18,2,1,3,-2
35,0,18,2,2,-1,3
36,0,19,-4,-1,-1,1
37,0,19,4,1,1,-1
38,0,20,-1,-3,1,3
39,0,20,-1,3,-1,3
40,0,20,1,-3,1,-3
41,0,20,1,3,-1,-3
42,0,21,-3,2,-2,-2
43,0,21,-1,0,2,-4
44,0,21,1,0,-2,4
45,0,21,3,-2,2,2
46,0,22,-2,-1,4,1
47,0,22,-1,-4,-2,-1
48,0,22,-1,-1,4,-2
49,0,22,-1,2,-4,-1
50,0,22,1,-2,4,1
51,0,22,1,1,-4,2
52,0,22,1,4,2,1
53,0,22,2,1,-4,-1
54,0,23,-3,3,1,2
55,0,23,-2,-3,3,-1
56,0,23,2,3,-3,1
57,0,23,3,-3,-1,-2
58,0,25,-4,2,-2,1
59,0,25,-2,-2,-1,4
60,0,25,-2,1,-2,4
61,0,25,2,-1,2,-4
62,0,25,2,2,1,-4
63,0,25,4,-2,2,-1
64,0,26,-4,0,-3,-1
65,0,26,-4,1,0,3
66,0,26,-3,4,-1,0
67,0,26,0,-1,-3,-4
68,0,26,0,1,3,4
69,0,26,3,-4,1,0
70,0,26,4,-1,0,-3
71,0,26,4,0,3,1
72,0,27,-1,3,1,-4
73,0,27,-1,4,-3,1
74,0,27,1,-4,3,-1
75,0,27,1,-3,-1,4
76,0,28,-2,-4,-2,2
77,0,28,-2,2,-4,2
78,0,28,2,-2,4,-2
79,0,28,2,4,2,-2
80,0,29,-3,-4,0,-2
81,0,29,-2,-3,-4,0
82,0,29,0,-4,3,2
83,0,29,0,4,-3,-2
84,0,29,2,3,4,0
85,0,29,3,4,0,2
86,0,30,-4,-3,-2,-1
87,0,30,-4,-2,1,3
88,0,30,-2,4,-1,-3
89,0,30,2,-4,1,3
90,0,30,4,2,-1,-3
91,0,30,4,3,2,1
92,0,31,-3,-3,3,2
93,0,31,3,3,-3,-2
94,0,33,-4,-4,0,1
95,0,33,-1,4,4,0
96,0,33,1,-4,-4,0
97,0,33,4,4,0,-1
98,0,34,-3,0,-3,-4
99,0,34,3,0,3,4
100,0,35,-1,-3,-4,-3
101,0,35,-1,-3,3,-4
102,0,35,1,3,-3,4
103,0,35,1,3,4,3
104,0,36,-4,0,4,-2
105,0,36,0,-4,-2,-4
106,0,36,0,-2,4,4
107,0,36,0,2,-4,-4
108,0,36,0,4,2,4
109,0,36,4,0,-4,2
110,0,37,-4,1,2,-4
111,0,37,4,-1,-2,4
112,0,38,-4,3,3,-2
113,0,38,-3,-3,-2,-4
114,0,38,-3,2,3,4
115,0,38,3,-2,-3,-4
116,0,38,3,3,2,4
117,0,38,4,-3,-3,2
118,0,41,0,-4,-4,3
119,0,41,0,4,4,-3
120,0,42,-4,3,-4,-1
121,0,42,-4,4,-1,3
122,0,42,-3,-1,4,4
123,0,42,3,1,-4,-4
124,0,42,4,-4,1,-3
125,0,42,4,-3,4,1
126,0,43,-3,-3,-4,3
127,0,43,3,3,4,-3
128,0,45,-4,-2,-4,-3
129,0,45,-4,-2,3,-4
130,0,45,-2,4,-3,4
131,0,45,-2,4,4,3
132,0,45,2,-4,-4,-3
133,0,45,2,-4,3,-4
134,0,45,4,2,-3,4
135,0,45,4,2,4,3
136,0,49,-4,4,1,-4
137,0,49,4,-4,-1,4
138,0,50,-3,3,-4,-4
139,0,50,3,-3,4,4
140,1,5,-2,1,0,0
141,1,6,-1,0,2,-1
142,1,6,0,-2,-1,1
143,1,6,0,1,-2,1
144,1,9,-2,-2,1,0
145,1,9,0,0,0,3
146,1,10,-2,-1,-1,-2
147,1,10,1,-2,-1,-2
148,1,10,1,-1,2,2
149,1,10,1,1,-2,-2
150,1,10,1,2,1,2
151,1,10,2,-1,2,-1
152,1,10,2,2,1,-1
153,1,11,-1,1,0,-3
154,1,11,0,-1,-3,-1
155,1,11,1,-3,1,0
156,1,11,1,3,-1,0
157,1,12,-3,-1,-1,1
158,1,12,-2,0,2,2
159,1,12,-1,3,1,-1
160,1,13,2,0,0,-3
161,1,14,3,0,-2,1
162,1,15,-1,-2,1,-3
163,1,15,-1,-1,-3,2
164,1,15,-1,2,3,1
165,1,15,2,1,3,1
166,1,16,-2,2,-2,-2
167,1,17,0,2,3,-2
168,1,17,4,-1,0,0
169,1,18,-3,2,-2,1
170,1,18,-2,3,1,2
171,1,19,-3,0,-3,-1
172,1,19,-3,1,0,3
173,1,19,-1,-1,4,1
174,1,19,0,-3,1,3
175,1,19,0,3,-1,3
176,1,19,3,-1,0,3
177,1,20,-1,-3,3,-1
178,1,20,0,0,2,-4
179,1,20,3,-3,-1,1
180,1,21,-2,4,-1,0
181,1,21,0,-4,-2,-1
182,1,21,0,-1,4,-2
183,1,21,0,2,-4,-1
184,1,21,2,-2,-3,2
185,1,21,4,2,-1,0
186,1,22,-4,1,2,-1
187,1,22,-1,-2,-1,4
188,1,22,-1,1,-2,4
189,1,22,4,1,1,2
190,1,23,-3,-3,-2,-1
191,1,23,-3,-2,1,3
192,1,23,2,-3,1,-3
193,1,23,2,3,-1,-3
194,1,23,3,-2,-3,-1
195,1,23,3,1,3,-2
196,1,23,3,2,-1,3
197,1,24,-2,-4,0,-2
198,1,24,2,0,-2,4
199,1,24,4,0,-2,-2
200,1,25,-1,-4,-2,2
201,1,25,-1,2,-4,2
202,1,25,2,-2,4,1
203,1,25,2,1,-4,2
204,1,25,2,4,2,1
205,1,26,-3,-4,0,1
206,1,26,-2,-3,3,2
207,1,26,-1,-3,-4,0
208,1,26,0,3,1,-4
209,1,26,0,4,-3,1
210,1,27,-4,-1,1,-3
211,1,27,-1,4,-1,-3
212,1,27,1,-1,-3,-4
213,1,27,1,1,3,4
214,1,27,3,1,-4,-1
215,1,28,3,3,-3,1
216,1,28,4,-2,2,2
217,1,29,-4,0,-3,2
218,1,29,-4,2,0,-3
219,1,29,-3,0,4,-2
220,1,29,-2,0,-3,-4
221,1,30,-4,-2,3,-1
222,1,30,-3,1,2,-4
223,1,30,1,-4,3,2
224,1,30,1,4,-3,-2
225,1,30,2,-4,3,-1
226,1,30,2,-3,-1,4
227,1,30,3,-1,2,-4
228,1,30,3,2,1,-4
229,1,30,4,-3,-1,-2
230,1,31,-3,3,3,-2
231,1,32,0,4,4,0
232,1,33,-4,-3,-2,2
233,1,33,-4,0,4,1
234,1,33,-2,-3,-2,-4
235,1,33,-2,2,3,4
236,1,33,3,-2,4,-2
237,1,33,3,4,2,-2
238,1,33,4,-4,1,0
239,1,34,-4,-1,-1,4
240,1,34,-4,4,1,-1
241,1,34,0,-3,-4,-3
242,1,34,0,-3,3,-4
243,1,34,3,3,4,0
244,1,35,-4,3,3,1
245,1,35,-3,3,-4,-1
246,1,35,-3,4,-1,3
247,1,35,3,-4,1,3
248,1,36,-4,-2,-4,0
249,1,36,2,-4,-4,0
250,1,36,4,4,0,2
251,1,37,-2,-1,4,4
252,1,37,1,-4,-2,-4
253,1,37,1,-2,4,4
254,1,37,1,2,-4,-4
255,1,37,1,4,2,4
256,1,38,-3,-2,-4,-3
257,1,38,-3,-2,3,-4
258,1,38,-2,-3,-4,3
259,1,38,2,3,-3,4
260,1,38,2,3,4,3
261,1,38,4,3,-3,-2
262,1,40,-4,2,-2,4
263,1,41,4,0,3,4
264,1,42,-3,4,1,-4
265,1,42,-1,4,-3,4
266,1,42,-1,4,4,3
267,1,42,1,-4,-4,3
268,1,42,1,4,4,-3
269,1,45,-4,-4,2,-3
270,1,45,-4,3,-4,2
271,1,45,-2,3,-4,-4
272,1,45,4,-2,-3,-4
273,1,45,4,3,2,4
274,1,48,-4,-4,0,4
275,1,49,4,1,-4,-4
276,1,50,3,-4,-4,-3
277,1,50,3,-4,3,-4
278,1,50,4,3,4,-3
279,1,57,4,-3,4,4
280,2,4,2,0,0,0
281,2,5,0,0,2,-1
282,2,6,-1,-2,1,0
283,2,7,-2,-1,-1,1
284,2,7,-1,-1,-1,-2
285,2,7,1,-2,-1,1
286,2,7,1,1,-2,1
287,2,9,-1,0,2,2
288,2,10,0,1,0,-3
289,2,10,1,0,0,3
290,2,11,0,3,1,-1
291,2,12,1,-1,-3,-1
292,2,13,-2,2,-2,1
293,2,13,-1,2,-2,-2
294,2,13,2,-2,-1,-2
295,2,13,2,-1,2,2
296,2,13,2,1,-2,-2
297,2,13,2,2,1,2
298,2,14,-2,0,-3,-1
299,2,14,-2,1,0,3
300,2,14,0,-2,1,-3
301,2,14,0,-1,-3,2
302,2,14,0,2,3,1
303,2,14,2,-3,1,0
304,2,14,2,3,-1,0
305,2,15,-3,1,2,-1
306,2,15,-1,3,1,2
307,2,15,3,-1,2,-1
308,2,15,3,2,1,-1
309,2,18,-4,-1,1,0
310,2,18,-2,-3,-2,-1
311,2,18,-2,-2,1,3
312,2,18,-1,4,-1,0
313,2,18,0,-1,4,1
314,2,18,1,2,3,-2
315,2,18,3,0,0,-3
316,2,19,0,-3,3,-1
317,2,20,-4,2,0,0
318,2,20,-3,-1,1,-3
319,2,20,1,-3,1,3
320,2,20,1,3,-1,3
321,2,20,3,1,3,1
322,2,21,-4,0,-1,-2
323,2,21,-2,-4,0,1
324,2,21,-1,-4,0,-2
325,2,21,0,-2,-1,4
326,2,21,0,1,-2,4
327,2,21,1,0,2,-4
328,2,21,4,0,-2,1
329,2,22,-3,0,-3,2
330,2,22,-3,2,0,-3
331,2,22,1,-4,-2,-1
332,2,22,1,-1,4,-2
333,2,22,1,2,-4,-1
334,2,23,-3,-2,3,-1
335,2,23,-1,-3,3,2
336,2,24,-2,0,4,-2
337,2,24,0,-4,-2,2
338,2,24,0,2,-4,2
339,2,25,-4,1,2,2
340,2,25,-2,1,2,-4
341,2,25,0,-3,-4,0
342,2,26,-3,-3,-2,2
343,2,26,-3,0,4,1
344,2,26,-2,3,3,-2
345,2,26,-1,0,-3,-4
346,2,26,0,4,-1,-3
347,2,26,3,-2,-3,2
348,2,26,4,-1,0,3
349,2,27,-3,-1,-1,4
350,2,27,-3,4,1,-1
351,2,27,1,3,1,-4
352,2,27,1,4,-3,1
353,2,27,4,-3,-1,1
354,2,28,-3,3,3,1
355,2,28,3,-3,1,-3
356,2,28,3,3,-1,-3
357,2,29,-4,-3,0,-2
358,2,29,-3,-2,-4,0
359,2,29,3,0,-2,4
360,2,30,-2,3,-4,-1
361,2,30,-2,4,-1,3
362,2,30,-1,-3,-2,-4
363,2,30,-1,2,3,4
364,2,30,2,-1,-3,-4
365,2,30,2,1,3,4
366,2,30,3,-2,4,1
367,2,30,3,1,-4,2
368,2,30,3,4,2,1
369,2,30,4,-2,-3,-1
370,2,30,4,1,3,-2
371,2,30,4,2,-1,3
372,2,33,-4,-2,3,2
373,2,33,-4,3,-2,-2
374,2,33,-3,2,-2,4
375,2,33,-2,-2,-4,-3
376,2,33,-2,-2,3,-4
377,2,33,1,4,4,0
378,2,33,2,-4,3,2
379,2,33,2,4,-3,-2
380,2,34,-1,-1,4,4
381,2,34,4,1,-4,-1
382,2,35,-1,-3,-4,3
383,2,35,1,-3,-4,-3
384,2,35,1,-3,3,-4
385,2,35,3,-4,3,-1
386,2,35,3,-3,-1,4
387,2,35,4,3,-3,1
388,2,36,-4,-4,2,0
389,2,37,-4,4,1,2
390,2,37,-2,4,1,-4
391,2,37,4,-1,2,-4
392,2,37,4,2,1,-4
393,2,38,-3,-4,2,-3
394,2,38,-3,3,-4,2
395,2,40,-4,-2,-2,-4
396,2,40,2,-4,-2,-4
397,2,40,2,-2,4,4
398,2,40,2,2,-4,-4
399,2,40,2,4,2,4
400,2,40,4,-2,4,-2
401,2,40,4,4,2,-2
402,2,41,-3,-4,0,4
403,2,41,0,4,-3,4
404,2,41,0,4,4,3
405,2,41,3,-4,-4,0
406,2,41,4,3,4,0
407,2,42,-4,1,-3,-4
408,2,42,-1,3,-4,-4
409,2,42,4,-4,1,3
410,2,43,3,3,-3,4
411,2,43,3,3,4,3
412,2,45,-4,-2,-4,3
413,2,45,2,-4,-4,3
414,2,45,2,4,4,-3
415,2,48,-4,0,4,4
416,2,50,-4,3,3,4
417,2,57,4,-4,-4,-3
418,2,57,4,-4,3,-4
419,2,64,-4,4,-4,-4
420,3,4,-1,-1,-1,1
421,3,5,0,-2,1,0
422,3,6,0,-1,-1,-2
423,3,6,1,0,2,-1
424,3,8,0,0,2,2
425,3,9,3,0,0,0
426,3,10,-2,1,2,-1
427,3,10,-1,2,-2,1
428,3,10,2,-2,-1,1
429,3,10,2,1,-2,1
430,3,11,-3,-1,1,0
431,3,11,-1,0,-3,-1
432,3,11,-1,1,0,3
433,3,11,1,1,0,-3
434,3,12,0,2,-2,-2
435,3,12,1,3,1,-1
436,3,13,-3,2,0,0
437,3,13,2,0,0,3
438,3,14,-3,0,-1,-2
439,3,14,0,3,1,2
440,3,15,-2,-1,1,-3
441,3,15,-1,-3,-2,-1
442,3,15,-1,-2,1,3
443,3,15,1,-2,1,-3
444,3,15,1,-1,-3,2
445,3,15,1,2,3,1
446,3,15,2,-1,-3,-1
447,3,17,-2,0,-3,2
448,3,17,-2,2,0,-3
449,3,17,0,4,-1,0
450,3,18,-4,0,-1,1
451,3,18,-3,1,2,2
452,3,18,-2,-2,3,-1
453,3,18,-1,-4,0,1
454,3,18,3,-2,-1,-2
455,3,18,3,-1,2,2
456,3,18,3,1,-2,-2
457,3,18,3,2,1,2
458,3,19,1,-1,4,1
459,3,19,3,-3,1,0
460,3,19,3,3,-1,0
461,3,20,0,-4,0,-2
462,3,20,1,-3,3,-1
463,3,21,-2,-3,-2,2
464,3,21,-2,0,4,1
465,3,21,-1,0,4,-2
466,3,21,2,2,3,-2
467,3,22,-3,-3,0,-2
468,3,22,-2,-1,-1,4
469,3,22,-2,4,1,-1
470,3,22,-1,1,2,-4
471,3,22,0,-3,3,2
472,3,22,1,-2,-1,4
473,3,22,1,1,-2,4
474,3,22,4,-1,2,-1
475,3,22,4,2,1,-1
476,3,23,-2,3,3,1
477,3,23,-1,3,3,-2
478,3,23,2,-3,1,3
479,3,23,2,3,-1,3
480,3,24,-2,-2,-4,0
481,3,24,2,0,2,-4
482,3,25,-4,-2,-2,-1
483,3,25,0,0,-3,-4
484,3,25,1,-4,-2,2
485,3,25,1,2,-4,2
486,3,25,2,-4,-2,-1
487,3,25,2,-1,4,-2
488,3,25,2,2,-4,-1
489,3,25,4,0,0,-3
490,3,26,-4,-3,0,1
491,3,26,-3,-2,3,2
492,3,26,-3,3,-2,-2
493,3,26,1,-3,-4,0
494,3,27,-4,-1,1,3
495,3,27,-4,1,-3,-1
496,3,27,-1,3,-4,-1
497,3,27,-1,4,-1,3
498,3,27,1,4,-1,-3
499,3,27,4,1,3,1
500,3,28,-2,2,-2,4
501,3,29,-4,2,0,3
502,3,29,-3,-4,2,0
503,3,29,0,-3,-2,-4
504,3,29,0,2,3,4
505,3,30,-4,3,-2,1
506,3,30,-3,4,1,2
507,3,30,-1,-2,-4,-3
508,3,30,-1,-2,3,-4
509,3,30,2,3,1,-4
510,3,30,2,4,-3,1
511,3,33,-3,-2,-2,-4
512,3,33,-2,-4,2,-3
513,3,33,-2,3,-4,2
514,3,33,0,-1,4,4
515,3,33,4,-2,-3,2
516,3,34,-1,4,1,-4
517,3,34,0,-3,-4,3
518,3,35,-3,1,-3,-4
519,3,35,3,-1,-3,-4
520,3,35,3,1,3,4
521,3,35,4,-3,1,-3
522,3,35,4,3,-1,-3
523,3,36,-2,-4,0,4
524,3,36,2,4,4,0
525,3,36,4,0,-2,4
526,3,37,-4,1,4,-2
527,3,37,4,-2,4,1
528,3,37,4,1,-4,2
529,3,37,4,4,2,1
530,3,38,-3,-2,-4,3
531,3,38,2,-3,-4,-3
532,3,38,2,-3,3,-4
533,3,38,3,-4,3,2
534,3,38,3,4,-3,-2
535,3,40,-4,2,2,-4
536,3,41,-3,0,4,4
537,3,41,0,3,-4,-4
538,3,42,-4,-1,-4,-3
539,3,42,-4,-1,3,-4
540,3,42,1,4,-3,4
541,3,42,1,4,4,3
542,3,42,4,-4,3,-1
543,3,42,4,-3,-1,4
544,3,43,-3,3,3,4
545,3,45,-4,-4,2,3
546,3,45,-4,4,3,-2
547,3,45,3,-4,-2,-4
548,3,45,3,-2,4,4
549,3,45,3,2,-4,-4
550,3,45,3,4,2,4
551,3,48,4,-4,-4,0
552,3,49,-4,4,-4,-1
553,3,50,-4,-4,-3,-3
554,3,50,3,-4,-4,3
555,3,50,3,4,4,-3
556,3,50,4,3,-3,4
557,3,50,4,3,4,3
558,3,57,-3,4,-4,-4
559,3,64,-4,-4,4,-4
560,4,3,0,-1,-1,1
561,4,6,-2,-1,1,0
562,4,6,1,-2,1,0
563,4,7,-1,1,2,-1
564,4,7,1,-1,-1,-2
565,4,8,-2,2,0,0
566,4,9,-2,0,-1,-2
567,4,9,0,2,-2,1
568,4,9,1,0,2,2
569,4,9,2,0,2,-1
570,4,10,0,0,-3,-1
571,4,10,0,1,0,3
572,4,11,-3,0,-1,1
573,4,12,-1,-1,1,-3
574,4,13,-2,1,2,2
575,4,13,1,2,-2,-2
576,4,14,-1,0,-3,2
577,4,14,-1,2,0,-3
578,4,14,0,-3,-2,-1
579,4,14,0,-2,1,3
580,4,14,2,1,0,-3
581,4,15,-1,-2,3,-1
582,4,15,1,3,1,2
583,4,15,2,3,1,-1
584,4,15,3,-2,-1,1
585,4,15,3,1,-2,1
586,4,16,4,0,0,0
587,4,17,-2,-3,0,-2
588,4,17,0,-4,0,1
589,4,18,-3,-2,-2,-1
590,4,18,-1,-3,-2,2
591,4,18,-1,0,4,1
592,4,18,1,4,-1,0
593,4,18,2,-2,1,-3
594,4,18,2,-1,-3,2
595,4,18,2,2,3,1
596,4,18,3,0,0,3
597,4,19,-3,-3,0,1
598,4,19,-1,-1,-1,4
599,4,19,-1,4,1,-1
600,4,20,-3,-1,1,3
601,4,20,-3,1,-3,-1
602,4,20,-1,3,3,1
603,4,20,0,0,4,-2
604,4,20,3,-1,-3,-1
605,4,21,-2,-2,3,2
606,4,21,-2,3,-2,-2
607,4,21,-1,-2,-4,0
608,4,21,0,1,2,-4
609,4,21,1,-4,0,-2
610,4,22,-3,2,0,3
611,4,22,0,3,3,-2
612,4,22,2,-1,4,1
613,4,23,-3,3,-2,1
614,4,23,1,-3,3,2
615,4,23,2,-3,3,-1
616,4,24,-2,-4,2,0
617,4,25,-4,2,2,-1
618,4,25,-2,4,1,2
619,4,25,-1,2,-2,4
620,4,25,2,-2,-1,4
621,4,25,2,1,-2,4
622,4,25,4,-2,-1,-2
623,4,25,4,-1,2,2
624,4,25,4,1,-2,-2
625,4,25,4,2,1,2
626,4,26,-4,0,1,-3
627,4,26,0,3,-4,-1
628,4,26,0,4,-1,3
629,4,26,1,0,-3,-4
630,4,26,3,2,3,-2
631,4,26,4,-3,1,0
632,4,26,4,3,-1,0
633,4,27,-4,-1,3,-1
634,4,28,-4,-2,-2,2
635,4,28,-2,-2,-2,-4
636,4,28,2,-4,-2,2
637,4,28,2,2,-4,2
638,4,28,3,-3,1,3
639,4,28,3,3,-1,3
640,4,29,0,-2,-4,-3
641,4,29,0,-2,3,-4
642,4,29,2,-3,-4,0
643,4,29,3,0,2,-4
644,4,30,-4,1,-3,2
645,4,30,-3,1,4,-2
646,4,30,-2,1,-3,-4
647,4,30,-1,-4,2,-3
648,4,30,-1,3,-4,2
649,4,30,1,-3,-2,-4
650,4,30,1,2,3,4
651,4,30,2,4,-1,-3
652,4,30,3,-4,-2,-1
653,4,30,3,-1,4,-2
654,4,30,3,2,-4,-1
655,4,33,-4,-1,-4,0
656,4,33,-4,0,-1,4
657,4,33,-3,2,2,-4
658,4,33,-2,-2,-4,3
659,4,33,-1,-4,0,4
660,4,33,0,4,1,-4
661,4,34,-4,1,4,1
662,4,34,-4,3,0,-3
663,4,34,1,-1,4,4
664,4,35,-3,-1,-4,-3
665,4,35,-3,-1,3,-4
666,4,35,1,-3,-4,3
667,4,35,3,3,1,-4
668,4,35,3,4,-3,1
669,4,36,-2,0,4,4
