HA,4,97,w1,w2,w3,w4
IX,d,SE,1,22,33,47
0,0,13,-3,0,0,-2
1,0,13,-2,0,3,0
2,0,13,0,-3,2,0
3,0,13,0,-2,0,3
4,0,13,0,2,0,-3
5,0,13,0,3,-2,0
6,0,13,2,0,-3,0
7,0,13,3,0,0,2
8,0,14,-3,-2,0,1
9,0,14,-2,3,1,0
10,0,14,-1,0,-3,-2
11,0,14,0,-1,2,-3
12,0,14,0,1,-2,3
13,0,14,1,0,3,2
14,0,14,2,-3,-1,0
15,0,14,3,2,0,-1
16,0,15,-3,1,-2,1
17,0,15,-2,1,1,3
18,0,15,-1,-3,-1,-2
19,0,15,-1,-2,-3,1
20,0,15,1,2,3,-1
21,0,15,1,3,1,2
22,0,15,2,-1,-1,-3
23,0,15,3,-1,2,-1
24,0,26,-3,-3,2,-2
25,0,26,-3,3,-2,-2
26,0,26,-2,-2,3,3
27,0,26,-2,2,3,-3
28,0,26,2,-2,-3,3
29,0,26,2,2,-3,-3
30,0,26,3,-3,2,2
31,0,26,3,3,-2,2
32,0,28,-5,1,1,1
33,0,28,-1,-5,-1,1
34,0,28,-1,-1,-1,-5
35,0,28,-1,1,-5,1
36,0,28,1,-1,5,-1
37,0,28,1,1,1,5
38,0,28,1,5,1,-1
39,0,28,5,-1,-1,-1
40,0,30,-4,-2,-3,-1
41,0,30,-3,-1,-2,4
42,0,30,-2,4,-1,3
43,0,30,-1,3,4,2
44,0,30,1,-3,-4,-2
45,0,30,2,-4,1,-3
46,0,30,3,1,2,-4
47,0,30,4,2,3,1
48,0,38,-5,0,3,-2
49,0,38,-3,2,0,-5
50,0,38,-2,-3,5,0
51,0,38,0,-5,2,3
52,0,38,0,5,-2,-3
53,0,38,2,3,-5,0
54,0,38,3,-2,0,5
55,0,38,5,0,-3,2
56,0,39,-5,-2,3,1
57,0,39,-5,3,1,-2
58,0,39,-3,-5,2,1
59,0,39,-3,-1,2,-5
60,0,39,-2,-1,5,-3
61,0,39,-2,5,1,-3
62,0,39,-1,2,-3,-5
63,0,39,-1,3,-5,-2
64,0,39,1,-3,5,2
65,0,39,1,-2,3,5
66,0,39,2,-5,-1,3
67,0,39,2,1,-5,3
68,0,39,3,1,-2,5
69,0,39,3,5,-2,-1
70,0,39,5,-3,-1,2
71,0,39,5,2,-3,-1
72,0,41,-4,0,-3,-4
73,0,41,-4,3,4,0
74,0,41,-3,-4,0,4
75,0,41,0,-4,4,-3
76,0,41,0,4,-4,3
77,0,41,3,4,0,-4
78,0,41,4,-3,-4,0
79,0,41,4,0,3,4
80,0,42,-4,-3,-1,-4
81,0,42,-4,1,4,3
82,0,42,-3,4,-4,1
83,0,42,-1,-4,-3,4
84,0,42,1,4,3,-4
85,0,42,3,-4,4,-1
86,0,42,4,-1,-4,-3
87,0,42,4,3,1,4
88,0,43,-5,-1,1,4
89,0,43,-5,4,-1,1
90,0,43,-4,-5,-1,-1
91,0,43,-4,1,-5,-1
92,0,43,-1,-4,1,-5
93,0,43,-1,-1,-5,4
94,0,43,-1,1,4,5
95,0,43,-1,5,4,-1
96,0,43,1,-5,-4,1
97,0,43,1,-1,-4,-5
98,0,43,1,1,5,-4
99,0,43,1,4,-1,5
100,0,43,4,-1,5,1
101,0,43,4,5,1,1
102,0,43,5,-4,1,-1
103,0,43,5,1,-1,-4
104,0,45,-4,-4,-3,2
105,0,45,-4,4,2,3
106,0,45,-3,2,-4,4
107,0,45,-2,-3,-4,-4
108,0,45,2,3,4,4
109,0,45,3,-2,4,-4
110,0,45,4,-4,-2,-3
111,0,45,4,4,3,-2
